mins,fgm,fga,3pm,3pa,ftm,fta,dreb,oreb,reb,ast,stl,blk,to,pf,+/-,pts
34,4,9,0,1,4,9,1,1,2,1,0,0,2,1,-15,10
36,8,15,3,5,8,15,1,1,2,7,2,0,2,4,13,22
28,6,11,2,3,6,11,0,1,1,0,1,1,4,4,-6,16
36,5,10,2,4,5,10,0,5,5,5,0,0,3,2,-12,13
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,5,8,1,2,5,8,0,1,1,8,1,0,4,4,0,12
36,8,23,4,10,8,23,2,5,7,6,1,0,2,1,8,22
34,6,20,1,5,6,20,1,2,3,8,0,0,2,4,16,15
35,6,15,1,4,6,15,2,2,4,7,2,0,4,1,-1,13
27,6,18,1,6,6,18,1,1,2,2,1,0,1,2,-22,13
34,9,16,6,10,9,16,0,2,2,2,0,0,2,2,19,25
38,12,23,2,7,12,23,0,3,3,3,2,0,4,0,3,28
33,12,21,4,8,12,21,0,3,3,3,1,0,2,3,12,28
29,7,16,1,4,7,16,0,1,1,5,0,0,1,3,13,18
34,7,16,1,3,7,16,1,4,5,5,0,0,1,1,9,17
23,3,9,1,4,3,9,0,0,0,3,0,0,2,6,-3,7
27,6,9,3,6,6,9,0,3,3,3,1,0,0,1,11,15
23,1,5,0,0,1,5,0,3,3,0,0,1,4,1,6,2
32,8,15,3,6,8,15,0,5,5,5,0,0,3,0,9,23
28,5,9,1,3,5,9,0,4,4,2,1,0,3,0,-9,11
30,7,16,3,6,7,16,1,5,6,0,0,0,2,3,-14,21
25,3,8,1,5,3,8,1,6,7,2,2,1,3,3,8,9
31,5,15,1,4,5,15,0,5,5,2,1,0,5,4,10,12
30,4,12,1,3,4,12,0,9,9,0,1,0,2,5,-2,11
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2,8,0,1,2,8,0,1,1,4,0,0,3,1,-12,4
27,7,14,2,2,7,14,0,2,2,5,1,0,5,0,-14,16
41,8,13,0,1,8,13,3,3,6,10,2,0,3,2,-1,21
35,4,14,2,3,4,14,3,6,9,10,1,0,4,4,-12,11
39,6,11,0,1,6,11,1,1,2,3,1,1,5,5,-14,14
24,3,5,1,2,3,5,0,0,0,3,0,1,2,3,-6,8
29,6,11,0,0,6,11,0,2,2,1,2,0,0,3,-7,12
26,5,8,2,3,5,8,0,4,4,0,0,1,1,6,9,12
22,3,7,2,6,3,7,1,6,7,1,0,0,1,5,17,8
27,6,11,2,6,6,11,1,6,7,0,0,0,2,5,-7,14
24,7,10,4,7,7,10,0,4,4,2,0,0,2,2,-5,18
18,4,12,2,6,4,12,2,8,10,2,0,0,1,2,-9,10
21,1,6,0,4,1,6,3,2,5,3,0,0,1,1,1,2
24,3,6,3,5,3,6,0,7,7,3,1,0,2,5,16,9
17,4,6,1,3,4,6,0,2,2,4,0,0,1,3,9,9
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,2,0,0,0,2,0,0,0,1,0,0,1,3,2,0
30,3,5,3,4,3,5,0,2,2,2,0,1,1,2,7,11
36,4,7,3,5,4,7,1,6,7,2,1,2,0,2,5,11
33,5,10,2,6,5,10,0,4,4,2,0,1,1,0,14,12
26,3,7,0,3,3,7,3,4,7,2,1,0,0,2,-6,6
24,2,5,1,4,2,5,0,2,2,0,0,0,1,3,9,5
27,4,8,2,5,4,8,1,5,6,3,1,1,0,3,31,10
24,1,6,0,1,1,6,3,5,8,1,1,0,1,3,22,2
29,4,6,2,3,4,6,0,5,5,0,0,0,2,3,21,10
25,1,3,0,1,1,3,1,1,2,2,0,0,1,1,15,2
39,9,18,0,0,9,18,4,7,11,3,3,0,1,1,23,19
34,5,11,0,0,5,11,4,4,8,3,2,1,2,1,8,11
27,8,12,0,0,8,12,0,7,7,0,2,1,1,4,-1,18
35,4,11,0,0,4,11,2,7,9,2,0,1,3,3,0,11
25,7,14,0,1,7,14,1,4,5,1,1,0,1,6,-5,14
27,5,10,0,1,5,10,0,2,2,1,0,0,0,1,-16,10
39,7,17,0,0,7,17,7,7,14,3,1,1,1,0,6,14
32,6,11,0,0,6,11,0,5,5,0,1,0,1,5,3,12
41,4,13,0,0,4,13,2,8,10,1,5,0,2,0,-1,11
34,7,11,0,0,7,11,2,6,8,4,1,0,2,1,1,16
41,6,16,2,6,6,16,3,3,6,9,0,1,2,3,2,16
